Sample,Time,Read,Write,Overall,Read Min,Write Min,Overall Min,Read Max,Write Max,Overall Max,Read Average,Write Average,Overall Average,Read Average per Channel,Write Average per Channel,Overall Average per Channel,Latest Temperature,Average Temperature,MC0.AM.WR_CMD_PS0,MC0.AM.WR_CMD_PS1,MC0.AM.WR_AP_CMD_PS0,MC0.AM.WR_AP_CMD_PS1,MC0.AM.RD_CMD_PS0,MC0.AM.RD_CMD_PS1,MC0.AM.RD_AP_CMD_PS0,MC0.AM.RD_AP_CMD_PS1,MC0.AM.REFRESH_CMD_PS0,MC0.AM.REFRESH_CMD_PS1,MC0.AM.ACT_CMD_PS0,MC0.AM.ACT_CMD_PS1,MC0.AM.PRECHARGE_CMD_PS0,MC0.AM.PRECHARGE_CMD_PS1,MC0.AM.PRECHARGE_ALL_CMD_PS0,MC0.AM.PRECHARGE_ALL_CMD_PS1,MC0.AM.RD_TO_WR_SWITCH_PS0,MC0.AM.RD_TO_WR_SWITCH_PS1,MC0.AM.RMW_CYCLE_PS0,MC0.AM.RMW_CYCLE_PS1,
53,20:14:53,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
54,20:14:54,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
55,20:14:55,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA536,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DC,00000000,00000000,00000000,
56,20:14:56,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54C,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
57,20:14:57,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
58,20:14:58,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53C,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
59,20:14:59,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
60,20:15:00,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53D,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
61,20:15:01,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
62,20:15:02,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
63,20:15:03,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
64,20:15:04,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
65,20:15:05,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
66,20:15:06,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,47,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
67,20:15:07,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA537,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DF,00000000,00000000,00000000,
68,20:15:08,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
69,20:15:09,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
70,20:15:10,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
71,20:15:11,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53C,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
72,20:15:12,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA547,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
73,20:15:13,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
74,20:15:14,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA548,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
